alletar;explotacio;nom;genere;pare;mare;quadra;cod;num_serie;dob;estado;part;GenereT;EstadoT
;Gurans;1;M;;;Riera;7892;ES07090513;31/01/2020;OK;;;
0;Gurans;20-36;F;Xero;11-3;;6350;ES020905131;02/03/2020;OK;19/12/2022;M;DEF
0;Gurans;20-36;F;Xero;11-3;;6350;ES020905131;02/03/2020;OK;17/11/2023;M;OK
0;Gurans;20-50;F;Xero;83;;8461;ES04090513;24/01/2020;OK;28/02/2023;F;OK
0;Gurans;20-50;F;Xero;83;;8461;ES04090513;24/01/2020;OK;23/02/2024;M;OK
0;Gurans;20-50;F;Xero;83;;8461;ES04090513;24/01/2020;OK;23/02/2024;M;OK
0;Gurans;20-51;F;Xero;236;;5039;ES02090513;29/06/2020;OK;13/05/2023;F;OK
0;Gurans;20-51;F;Xero;236;;5039;ES02090513;29/06/2020;OK;02/05/2024;F;OK
0;Gurans;20-64;F;Xero;K-12;;7039;ES00090537;28/10/2020;OK;27/04/2023;M;OK
0;Gurans;20-64;F;Xero;K-12;;7039;ES00090537;28/10/2020;OK;12/06/2024;M;OK
0;Gurans;R-32;F;;;;6144;;17/02/2018;OK;28/11/2019;F;OK
0;Gurans;R-32;F;;;;6144;;17/02/2018;OK;05/02/2021;F;OK
0;Gurans;R-32;F;;;;6144;;17/02/2018;OK;28/02/2022;F;OK
0;Gurans;R-32;F;;;;6144;;17/02/2018;OK;10/02/2023;M;OK
0;Gurans;R-32;F;;;;6144;;17/02/2018;OK;06/02/2024;F;OK
0;Gurans;E6;F;;;;;;18/02/2018;OK;;;
0;Gurans;G-16;F;;;;;;19/02/2018;OK;;;
0;Gurans;K-75;F;;;;;;20/02/2018;OK;;;
0;Gurans;I-2;F;;;;;;21/02/2018;OK;;;
0;Gurans;H-71;F;;;;;;22/02/2018;OK;;;
0;Gurans;46;F;;;;;;23/02/2018;OK;;;
0;Gurans;51;F;;;;;;24/02/2018;OK;;;
0;Gurans;K-41;F;;;;;;25/02/2018;OK;;;
0;Gurans;47;F;;;;;;26/02/2018;OK;;;
0;Gurans;21-17;F;;;;;;27/02/2018;OK;;;
0;Gurans;21-19;F;;;;;;28/02/2018;OK;;;
0;Gurans;21-sep;F;;;;;;01/03/2018;OK;;;
0;Gurans;21-31;F;;;;;;02/03/2018;OK;;;
0;Gurans;21-28;F;;;;;;03/03/2018;OK;;;
0;Gurans;21-29;F;;;;;;04/03/2018;OK;;;
0;Gurans;23-sep;F;;;;;;05/03/2018;OK;;;
0;Gurans;23-abr;F;;;;;;;OK;;;
1;Gurans;50;F;;;;;;;OK;;;
1;Gurans;52;F;;;;;;;OK;;;
1;Gurans;E5;F;;;;;;;OK;;;
1;Gurans;E8;F;;;;;;;OK;;;
2;Gurans;K-73;F;;;;;;;OK;;;
;Guadalajara;Pablo;M;alfonso;Emma;Martinez;4785;es1123456987;09/03/1977;DEF;;;
;Prueba 2;Mario;M;Mario;Elisa;Martinez;4865;Es1452365489662;14/08/1976;OK;;;
0;Guadalajara;Marta;F;Jose ignacio;Elena;de Andres;4945;Es4587963211456;30/06/1977;OK;18/02/2012;F;OK
0;Guadalajara;Marta;F;Jose ignacio;Elena;de Andres;4945;Es4587963211456;30/06/1977;OK;08/01/2010;M;OK
;Madrid;Nico;M;Javi;Esther;Dorado;5825;es12341351;23/01/1981;OK;;;
0;Madrid;Clara;F;Alfonso;Emma;Martinez;5905;es463573457;28/07/1981;OK;;;
0;LA CASANOVA;19-7;F;Xero;83;;5782;ES02090498;01/02/2019;ok;07/04/2022;F;OK
0;LA CASANOVA;19-7;F;Xero;83;;5782;ES02090498;01/02/2019;ok;05/05/2023;M;OK
0;LA CASANOVA;19-7;F;Xero;83;;5782;ES02090498;01/02/2019;ok;23/03/2024;M;OK
0;LA CASANOVA;19-18;F;Farrer;G-23;;7064;ES00090494;01/03/2019;ok;01/05/2022;F;OK
0;LA CASANOVA;19-18;F;Farrer;G-23;;7064;ES00090494;01/03/2019;ok;20/05/2023;M;OK
0;LA CASANOVA;19-16;F;Xero;221;;4810;ES04090494;01/03/2019;ok;17/04/2022;F;OK
0;LA CASANOVA;19-16;F;Xero;221;;4810;ES04090494;01/03/2019;ok;01/06/2023;M;OK
0;LA CASANOVA;19-16;F;Xero;221;;4810;ES04090494;01/03/2019;ok;13/06/2024;M;OK
0;LA CASANOVA;20-37;F;Marques;48;;5112;ES05090513;07/04/2020;ok;12/05/2023;F;OK
0;LA CASANOVA;20-37;F;Marques;48;;5112;ES05090513;07/04/2020;ok;12/06/2024;F;OK
0;LA CASANOVA;20-58;F;Farrer;G-4;;5247;ES05090513;30/10/2020;ok;07/05/2023;M;OK
0;LA CASANOVA;20-58;F;Farrer;G-4;;5247;ES05090513;30/10/2020;ok;12/08/2024;M;OK
0;LA CASANOVA;1 UNO;M;Olost;;Rodó;8140;ES03090550;14/03/2022;ok;;;OK
1;LA CASANOVA;19-10;F;Xero;H-23;;5788;ES08090498;01/02/2019;ok;18/01/2022;M;OK
1;LA CASANOVA;19-10;F;Xero;H-23;;5788;ES08090498;01/02/2019;ok;27/12/2022;F;OK
1;LA CASANOVA;19-10;F;Xero;H-23;;5788;ES08090498;01/02/2019;ok;05/11/2023;F;OK
1;LA CASANOVA;19-10;F;Xero;H-23;;5788;ES08090498;01/02/2019;ok;04/10/2024;F;OK
1;LA CASANOVA;19-11;F;Xero;86;;5786;ES06090498;01/02/2019;ok;03/12/2021;M;OK
1;LA CASANOVA;19-11;F;Xero;86;;5786;ES06090498;01/02/2019;ok;12/11/2022;M;OK
1;LA CASANOVA;19-11;F;Xero;86;;5786;ES06090498;01/02/2019;ok;23/10/2023;F;OK
1;LA CASANOVA;19-11;F;Xero;86;;5786;ES06090498;01/02/2019;ok;15/10/2024;F;OK
1;LA CASANOVA;19-2;F;C-8;Polit;;5463;Es01080498;01/11/2018;ok;19/11/2021;M;OK
1;LA CASANOVA;19-2;F;C-8;Polit;;5463;Es01080498;01/11/2018;ok;27/10/2022;M;OK
1;LA CASANOVA;19-2;F;C-8;Polit;;5463;Es01080498;01/11/2018;ok;14/10/2023;M;OK
1;LA CASANOVA;19-2;F;C-8;Polit;;5463;Es01080498;01/11/2018;ok;28/10/2024;F;OK
1;LA CASANOVA;20-5;F;Faus;69;;815;ES07090495;01/04/2019;ok;13/10/2022;F;OK
