alletar;explotacio;nom;genere;pare;mare;quadra;cod;num_serie;dob;estado;part;GenereT;EstadoT
0;LA CASANOVA;19-jul;F;Xero;83;;5782;ES02090498;01/02/2019;ok;07/04/2022;F;OK
0;LA CASANOVA;19-jul;F;Xero;83;;5782;ES02090498;01/02/2019;ok;05/05/2023;M;OK
0;LA CASANOVA;19-jul;F;Xero;83;;5782;ES02090498;01/02/2019;ok;23/03/2024;M;OK
0;LA CASANOVA;19-18;F;Farrer;G-23;;7064;ES00090494;01/03/2019;ok;01/05/2022;F;OK
0;LA CASANOVA;19-18;F;Farrer;G-23;;7064;ES00090494;01/03/2019;ok;20/05/2023;M;OK
0;LA CASANOVA;19-16;F;Xero;221;;4810;ES04090494;01/03/2019;ok;17/04/2022;F;OK
0;LA CASANOVA;19-16;F;Xero;221;;4810;ES04090494;01/03/2019;ok;01/06/2023;M;OK
0;LA CASANOVA;19-16;F;Xero;221;;4810;ES04090494;01/03/2019;ok;13/06/2024;M;OK
0;LA CASANOVA;20-37;F;Marques;48;;5112;ES05090513;07/04/2020;ok;12/05/2023;F;OK
0;LA CASANOVA;20-37;F;Marques;48;;5112;ES05090513;07/04/2020;ok;12/06/2024;F;OK
0;LA CASANOVA;20-58;F;Farrer;G-4;;5247;ES05090513;30/10/2020;ok;07/05/2023;M;OK
0;LA CASANOVA;20-58;F;Farrer;G-4;;5247;ES05090513;30/10/2020;ok;12/08/2024;M;OK
0;LA CASANOVA;1 UNO;M;Olost;;Rodó;8140;ES03090550;14/03/2022;ok;;;OK
1;LA CASANOVA;19-oct;F;Xero;H-23;;5788;ES08090498;01/02/2019;ok;18/01/2022;M;OK
1;LA CASANOVA;19-oct;F;Xero;H-23;;5788;ES08090498;01/02/2019;ok;27/12/2022;F;OK
1;LA CASANOVA;19-oct;F;Xero;H-23;;5788;ES08090498;01/02/2019;ok;05/11/2023;F;OK
1;LA CASANOVA;19-oct;F;Xero;H-23;;5788;ES08090498;01/02/2019;ok;04/10/2024;F;OK
1;LA CASANOVA;19-nov;F;Xero;86;;5786;ES06090498;01/02/2019;ok;03/12/2021;M;OK
1;LA CASANOVA;19-nov;F;Xero;86;;5786;ES06090498;01/02/2019;ok;12/11/2022;M;OK
1;LA CASANOVA;19-nov;F;Xero;86;;5786;ES06090498;01/02/2019;ok;23/10/2023;F;OK
1;LA CASANOVA;19-nov;F;Xero;86;;5786;ES06090498;01/02/2019;ok;15/10/2024;F;OK
1;LA CASANOVA;19-feb;F;C-8;Polit;;5463;Es01080498;01/11/2018;ok;19/11/2021;M;OK
