"id","data","genere_fill","estat_fill","numero_part","created_at","updated_at","animal_id","animal_nom"
1,"2022-12-19","F","DEF",1,"2025-02-16 22:32:03.506224+01","2025-02-16 22:32:03.506224+01",2,"20-36"
2,"2023-11-17","M","OK",2,"2025-02-16 22:32:03.508223+01","2025-02-16 22:32:03.508223+01",2,"20-36"
3,"2023-02-28","F","OK",1,"2025-02-16 22:32:03.511223+01","2025-02-16 22:32:03.511223+01",3,"20-50"
4,"2024-02-23","M","OK",2,"2025-02-16 22:32:03.512223+01","2025-02-16 22:32:03.512223+01",3,"20-50"
5,"2023-05-13","F","OK",1,"2025-02-16 22:32:03.515223+01","2025-02-16 22:32:03.515223+01",4,"20-51"
6,"2024-05-02","F","OK",2,"2025-02-16 22:32:03.516223+01","2025-02-16 22:32:03.516223+01",4,"20-51"
7,"2023-04-27","M","OK",1,"2025-02-16 22:32:03.518223+01","2025-02-16 22:32:03.518223+01",5,"20-64"
8,"2024-06-12","M","OK",2,"2025-02-16 22:32:03.519223+01","2025-02-16 22:32:03.519223+01",5,"20-64"
15,"2010-01-08","M","OK",2,"2025-02-16 22:32:03.556223+01","2025-02-16 22:32:03.556223+01",31,"Marta"
14,"2012-02-18","F","OK",1,"2025-02-16 22:32:03.555222+01","2025-02-16 22:32:03.555222+01",31,"Marta"
9,"2019-11-28","F","OK",1,"2025-02-16 22:32:03.521223+01","2025-02-16 22:32:03.521223+01",6,"R-32"
10,"2021-02-05","F","OK",2,"2025-02-16 22:32:03.522224+01","2025-02-16 22:32:03.522224+01",6,"R-32"
11,"2022-02-28","F","OK",3,"2025-02-16 22:32:03.523222+01","2025-02-16 22:32:03.523222+01",6,"R-32"
12,"2023-02-10","M","OK",4,"2025-02-16 22:32:03.524222+01","2025-02-16 22:32:03.524222+01",6,"R-32"
13,"2024-02-06","F","OK",5,"2025-02-16 22:32:03.526223+01","2025-02-16 22:32:03.526223+01",6,"R-32"
